city,lat,lon,scenario,year,tas_mean_C,tas_p10_C,tas_p90_C,pr_mean_mmday,n_models
Anchorage,61.22,-149.9,historical,1850,-2.266,-3.956,-0.226,3.731,8.0
Anchorage,61.22,-149.9,historical,1851,-2.395,-5.466,1.697,3.958,8.0
Anchorage,61.22,-149.9,historical,1852,-1.992,-3.837,0.494,3.962,8.0
Anchorage,61.22,-149.9,historical,1853,-0.859,-1.633,0.069,4.212,8.0
Anchorage,61.22,-149.9,historical,1854,-1.88,-3.034,-0.549,4.167,8.0
Anchorage,61.22,-149.9,historical,1855,-2.039,-3.595,-0.527,4.022,8.0
Anchorage,61.22,-149.9,historical,1856,-1.639,-3.536,1.538,3.905,8.0
Anchorage,61.22,-149.9,historical,1857,-2.1,-4.574,1.391,4.031,8.0
Anchorage,61.22,-149.9,historical,1858,-0.998,-3.514,2.36,4.349,8.0
Anchorage,61.22,-149.9,historical,1859,-1.124,-5.076,2.426,4.213,8.0
Anchorage,61.22,-149.9,historical,1860,-1.829,-4.269,-0.382,3.889,8.0
Anchorage,61.22,-149.9,historical,1861,-1.677,-5.082,1.814,4.269,8.0
Anchorage,61.22,-149.9,historical,1862,-1.929,-4.547,0.282,3.937,8.0
Anchorage,61.22,-149.9,historical,1863,-1.778,-4.519,1.186,3.966,8.0
Anchorage,61.22,-149.9,historical,1864,-2.25,-4.719,0.034,4.055,8.0
Anchorage,61.22,-149.9,historical,1865,-1.274,-3.656,2.009,3.855,8.0
Anchorage,61.22,-149.9,historical,1866,-1.579,-3.679,0.6,3.884,8.0
Anchorage,61.22,-149.9,historical,1867,-2.097,-4.005,-0.565,3.835,8.0
Anchorage,61.22,-149.9,historical,1868,-1.62,-3.985,0.808,4.222,8.0
Anchorage,61.22,-149.9,historical,1869,-1.015,-4.386,1.946,4.01,8.0
Anchorage,61.22,-149.9,historical,1870,-1.856,-5.65,1.856,4.072,8.0
Anchorage,61.22,-149.9,historical,1871,-1.959,-3.761,1.582,3.741,8.0
Anchorage,61.22,-149.9,historical,1872,-1.511,-4.552,0.729,3.98,8.0
Anchorage,61.22,-149.9,historical,1873,-0.676,-3.43,2.088,4.252,8.0
Anchorage,61.22,-149.9,historical,1874,-1.293,-3.641,1.234,4.054,8.0
Anchorage,61.22,-149.9,historical,1875,-1.663,-3.742,0.289,4.141,8.0
Anchorage,61.22,-149.9,historical,1876,-0.968,-2.8,0.32,4.088,8.0
Anchorage,61.22,-149.9,historical,1877,-1.902,-3.598,0.186,4.132,8.0
Anchorage,61.22,-149.9,historical,1878,-2.325,-3.979,-0.502,3.846,8.0
Anchorage,61.22,-149.9,historical,1879,-1.357,-3.433,1.237,3.829,8.0
Anchorage,61.22,-149.9,historical,1880,-1.721,-4.611,1.665,3.743,8.0
Anchorage,61.22,-149.9,historical,1881,-0.889,-4.579,1.963,4.193,8.0
Anchorage,61.22,-149.9,historical,1882,-1.939,-4.629,1.031,4.272,8.0
Anchorage,61.22,-149.9,historical,1883,-2.412,-4.012,-0.887,3.872,8.0
Anchorage,61.22,-149.9,historical,1884,-1.896,-3.844,0.634,4.036,8.0
Anchorage,61.22,-149.9,historical,1885,-2.178,-5.659,0.616,3.611,8.0
Anchorage,61.22,-149.9,historical,1886,-2.791,-5.627,-0.138,3.834,8.0
Anchorage,61.22,-149.9,historical,1887,-2.188,-5.175,0.549,3.948,8.0
Anchorage,61.22,-149.9,historical,1888,-2.926,-4.918,-1.74,3.824,8.0
Anchorage,61.22,-149.9,historical,1889,-2.19,-3.833,-0.405,3.669,8.0
Anchorage,61.22,-149.9,historical,1890,-2.248,-4.225,0.216,3.946,8.0
Anchorage,61.22,-149.9,historical,1891,-1.974,-4.276,1.104,3.957,8.0
Anchorage,61.22,-149.9,historical,1892,-1.298,-3.165,0.764,3.987,8.0
Anchorage,61.22,-149.9,historical,1893,-1.269,-3.78,2.392,4.169,8.0
Anchorage,61.22,-149.9,historical,1894,-1.012,-3.622,1.759,4.222,8.0
Anchorage,61.22,-149.9,historical,1895,-1.993,-3.273,0.176,3.657,8.0
Anchorage,61.22,-149.9,historical,1896,-1.942,-4.262,1.326,3.71,8.0
Anchorage,61.22,-149.9,historical,1897,-0.843,-2.405,1.582,4.164,8.0
Anchorage,61.22,-149.9,historical,1898,-2.493,-3.938,-1.348,3.809,8.0
Anchorage,61.22,-149.9,historical,1899,-1.763,-3.379,-0.351,3.952,8.0
Anchorage,61.22,-149.9,historical,1900,-1.316,-3.468,0.623,4.044,8.0
Anchorage,61.22,-149.9,historical,1901,-1.659,-3.272,0.76,4.172,8.0
Anchorage,61.22,-149.9,historical,1902,-2.117,-4.184,-0.572,3.952,8.0
Anchorage,61.22,-149.9,historical,1903,-2.162,-3.879,-0.503,4.004,8.0
Anchorage,61.22,-149.9,historical,1904,-1.064,-2.631,1.13,4.053,8.0
Anchorage,61.22,-149.9,historical,1905,-1.723,-4.025,0.748,3.924,8.0
Anchorage,61.22,-149.9,historical,1906,-1.405,-4.086,1.93,4.233,8.0
Anchorage,61.22,-149.9,historical,1907,-2.085,-4.07,-0.189,4.066,8.0
Anchorage,61.22,-149.9,historical,1908,-2.053,-5.917,0.598,4.308,8.0
