city,scenario,year,model,tas_C,pr_mm_day
Anchorage,historical,1850,ACCESS-CM2,-3.636,4.381
Anchorage,historical,1851,ACCESS-CM2,-3.64,5.569
Anchorage,historical,1852,ACCESS-CM2,-3.832,4.169
Anchorage,historical,1853,ACCESS-CM2,-0.923,4.434
Anchorage,historical,1854,ACCESS-CM2,-2.016,6.026
Anchorage,historical,1855,ACCESS-CM2,-0.654,6.225
Anchorage,historical,1856,ACCESS-CM2,-2.273,4.949
Anchorage,historical,1857,ACCESS-CM2,-3.275,5.835
Anchorage,historical,1858,ACCESS-CM2,-1.235,7.777
Anchorage,historical,1859,ACCESS-CM2,0.41,5.601
Anchorage,historical,1860,ACCESS-CM2,-0.977,5.57
Anchorage,historical,1861,ACCESS-CM2,-1.465,5.122
Anchorage,historical,1862,ACCESS-CM2,-1.146,6.084
Anchorage,historical,1863,ACCESS-CM2,-1.307,4.885
Anchorage,historical,1864,ACCESS-CM2,-2.651,6.023
Anchorage,historical,1865,ACCESS-CM2,-2.606,5.713
Anchorage,historical,1866,ACCESS-CM2,-1.982,5.106
Anchorage,historical,1867,ACCESS-CM2,-1.204,5.431
Anchorage,historical,1868,ACCESS-CM2,-2.57,5.174
Anchorage,historical,1869,ACCESS-CM2,-2.324,5.369
Anchorage,historical,1870,ACCESS-CM2,-2.599,4.578
Anchorage,historical,1871,ACCESS-CM2,-2.957,5.086
Anchorage,historical,1872,ACCESS-CM2,-1.052,4.952
Anchorage,historical,1873,ACCESS-CM2,-2.57,5.128
Anchorage,historical,1874,ACCESS-CM2,-0.516,5.361
Anchorage,historical,1875,ACCESS-CM2,-1.396,4.776
Anchorage,historical,1876,ACCESS-CM2,-0.736,5.074
Anchorage,historical,1877,ACCESS-CM2,-0.43,6.034
Anchorage,historical,1878,ACCESS-CM2,-1.063,5.396
Anchorage,historical,1879,ACCESS-CM2,-0.456,5.849
Anchorage,historical,1880,ACCESS-CM2,-2.314,4.492
Anchorage,historical,1881,ACCESS-CM2,-1.255,5.015
Anchorage,historical,1882,ACCESS-CM2,-1.313,5.818
Anchorage,historical,1883,ACCESS-CM2,-2.22,6.079
Anchorage,historical,1884,ACCESS-CM2,-0.253,5.936
Anchorage,historical,1885,ACCESS-CM2,-5.715,3.949
Anchorage,historical,1886,ACCESS-CM2,-3.942,4.641
Anchorage,historical,1887,ACCESS-CM2,-3.812,4.828
Anchorage,historical,1888,ACCESS-CM2,-4.695,3.902
Anchorage,historical,1889,ACCESS-CM2,-2.442,4.149
Anchorage,historical,1890,ACCESS-CM2,-2.497,5.489
Anchorage,historical,1891,ACCESS-CM2,-1.743,5.459
Anchorage,historical,1892,ACCESS-CM2,-1.688,5.474
Anchorage,historical,1893,ACCESS-CM2,-2.592,5.515
Anchorage,historical,1894,ACCESS-CM2,-1.767,5.247
Anchorage,historical,1895,ACCESS-CM2,-2.08,4.042
Anchorage,historical,1896,ACCESS-CM2,-2.295,5.036
Anchorage,historical,1897,ACCESS-CM2,-1.18,5.847
Anchorage,historical,1898,ACCESS-CM2,-2.343,5.837
Anchorage,historical,1899,ACCESS-CM2,-0.383,5.939
Anchorage,historical,1900,ACCESS-CM2,-1.282,5.55
Anchorage,historical,1901,ACCESS-CM2,-1.487,5.259
Anchorage,historical,1902,ACCESS-CM2,-0.897,5.686
Anchorage,historical,1903,ACCESS-CM2,-2.346,5.315
Anchorage,historical,1904,ACCESS-CM2,-1.8,5.166
Anchorage,historical,1905,ACCESS-CM2,-1.301,5.327
Anchorage,historical,1906,ACCESS-CM2,-1.046,5.828
Anchorage,historical,1907,ACCESS-CM2,-0.483,6.044
Anchorage,historical,1908,ACCESS-CM2,-1.862,6.625
Anchorage,historical,1909,ACCESS-CM2,-2.184,5.274
Anchorage,historical,1910,ACCESS-CM2,-0.576,5.292
Anchorage,historical,1911,ACCESS-CM2,-0.329,5.063
Anchorage,historical,1912,ACCESS-CM2,-2.215,5.314
Anchorage,historical,1913,ACCESS-CM2,-1.716,5.713
Anchorage,historical,1914,ACCESS-CM2,-3.828,4.274
Anchorage,historical,1915,ACCESS-CM2,-2.368,4.542
Anchorage,historical,1916,ACCESS-CM2,-3.328,4.596
Anchorage,historical,1917,ACCESS-CM2,-3.245,4.281
Anchorage,historical,1918,ACCESS-CM2,-2.513,4.899
Anchorage,historical,1919,ACCESS-CM2,-1.282,4.798
Anchorage,historical,1920,ACCESS-CM2,-4.125,4.96
Anchorage,historical,1921,ACCESS-CM2,-2.208,4.915
Anchorage,historical,1922,ACCESS-CM2,-3.419,5.12
Anchorage,historical,1923,ACCESS-CM2,-2.83,5.833
Anchorage,historical,1924,ACCESS-CM2,-1.987,5.291
Anchorage,historical,1925,ACCESS-CM2,-0.543,5.818
Anchorage,historical,1926,ACCESS-CM2,-3.43,4.885
Anchorage,historical,1927,ACCESS-CM2,-1.45,6.125
Anchorage,historical,1928,ACCESS-CM2,-1.489,6.325
Anchorage,historical,1929,ACCESS-CM2,-1.611,6.279
Anchorage,historical,1930,ACCESS-CM2,-1.0,5.257
Anchorage,historical,1931,ACCESS-CM2,-2.892,4.772
Anchorage,historical,1932,ACCESS-CM2,-2.281,5.3
Anchorage,historical,1933,ACCESS-CM2,-2.668,4.79
Anchorage,historical,1934,ACCESS-CM2,-2.368,5.34
Anchorage,historical,1935,ACCESS-CM2,-1.336,5.085
Anchorage,historical,1936,ACCESS-CM2,-1.164,5.662
Anchorage,historical,1937,ACCESS-CM2,-1.482,5.946
Anchorage,historical,1938,ACCESS-CM2,-1.577,4.973
Anchorage,historical,1939,ACCESS-CM2,-1.222,5.634
Anchorage,historical,1940,ACCESS-CM2,-0.07,5.456
Anchorage,historical,1941,ACCESS-CM2,-1.202,5.533
Anchorage,historical,1942,ACCESS-CM2,-2.487,4.811
Anchorage,historical,1943,ACCESS-CM2,-0.919,5.24
Anchorage,historical,1944,ACCESS-CM2,0.077,5.297
Anchorage,historical,1945,ACCESS-CM2,-0.154,5.594
Anchorage,historical,1946,ACCESS-CM2,0.447,6.307
Anchorage,historical,1947,ACCESS-CM2,-0.916,5.618
Anchorage,historical,1948,ACCESS-CM2,-3.184,4.225
Anchorage,historical,1949,ACCESS-CM2,-1.119,5.052
Anchorage,historical,1950,ACCESS-CM2,-2.737,3.996
Anchorage,historical,1951,ACCESS-CM2,-1.322,5.201
Anchorage,historical,1952,ACCESS-CM2,-2.795,4.667
Anchorage,historical,1953,ACCESS-CM2,-0.225,5.783
Anchorage,historical,1954,ACCESS-CM2,-1.068,6.128
Anchorage,historical,1955,ACCESS-CM2,-1.272,4.828
Anchorage,historical,1956,ACCESS-CM2,-3.672,4.324
Anchorage,historical,1957,ACCESS-CM2,-2.659,5.196
Anchorage,historical,1958,ACCESS-CM2,-0.629,5.795
Anchorage,historical,1959,ACCESS-CM2,-1.126,6.126
Anchorage,historical,1960,ACCESS-CM2,-1.154,5.316
Anchorage,historical,1961,ACCESS-CM2,-0.911,5.203
Anchorage,historical,1962,ACCESS-CM2,0.623,5.271
Anchorage,historical,1963,ACCESS-CM2,-0.665,5.433
Anchorage,historical,1964,ACCESS-CM2,-1.375,5.323
Anchorage,historical,1965,ACCESS-CM2,-2.022,5.279
Anchorage,historical,1966,ACCESS-CM2,-1.113,5.63
Anchorage,historical,1967,ACCESS-CM2,-2.187,6.011
Anchorage,historical,1968,ACCESS-CM2,-1.843,4.413
Anchorage,historical,1969,ACCESS-CM2,-1.181,5.031
Anchorage,historical,1970,ACCESS-CM2,-0.342,6.503
Anchorage,historical,1971,ACCESS-CM2,-3.099,5.0
Anchorage,historical,1972,ACCESS-CM2,-2.983,4.776
Anchorage,historical,1973,ACCESS-CM2,-0.543,5.21
Anchorage,historical,1974,ACCESS-CM2,-1.008,4.964
Anchorage,historical,1975,ACCESS-CM2,-2.614,4.796
Anchorage,historical,1976,ACCESS-CM2,-2.697,4.866
Anchorage,historical,1977,ACCESS-CM2,-0.652,5.014
Anchorage,historical,1978,ACCESS-CM2,-0.475,4.92
Anchorage,historical,1979,ACCESS-CM2,-0.767,5.804
Anchorage,historical,1980,ACCESS-CM2,-2.256,5.285
Anchorage,historical,1981,ACCESS-CM2,0.328,6.026
Anchorage,historical,1982,ACCESS-CM2,0.247,6.624
Anchorage,historical,1983,ACCESS-CM2,-0.043,4.828
Anchorage,historical,1984,ACCESS-CM2,-0.464,4.941
Anchorage,historical,1985,ACCESS-CM2,-1.689,4.716
Anchorage,historical,1986,ACCESS-CM2,-0.749,4.215
Anchorage,historical,1987,ACCESS-CM2,-4.27,4.184
Anchorage,historical,1988,ACCESS-CM2,-2.004,5.249
Anchorage,historical,1989,ACCESS-CM2,-0.554,5.995
Anchorage,historical,1990,ACCESS-CM2,-1.062,5.746
Anchorage,historical,1991,ACCESS-CM2,-0.755,5.147
Anchorage,historical,1992,ACCESS-CM2,-1.563,6.511
Anchorage,historical,1993,ACCESS-CM2,-1.262,5.074
Anchorage,historical,1994,ACCESS-CM2,-0.132,5.978
Anchorage,historical,1995,ACCESS-CM2,-0.146,6.496
Anchorage,historical,1996,ACCESS-CM2,0.528,6.707
Anchorage,historical,1997,ACCESS-CM2,-2.19,6.153
Anchorage,historical,1998,ACCESS-CM2,-2.287,4.961
Anchorage,historical,1999,ACCESS-CM2,-1.951,3.607
Anchorage,historical,2000,ACCESS-CM2,-0.54,5.42
Anchorage,historical,2001,ACCESS-CM2,-0.835,5.113
Anchorage,historical,2002,ACCESS-CM2,-1.363,5.788
Anchorage,historical,2003,ACCESS-CM2,-1.136,5.495
Anchorage,historical,2004,ACCESS-CM2,-2.283,4.689
Anchorage,historical,2005,ACCESS-CM2,-2.533,5.62
Anchorage,historical,2006,ACCESS-CM2,-1.725,4.83
Anchorage,historical,2007,ACCESS-CM2,-0.887,6.184
Anchorage,historical,2008,ACCESS-CM2,-1.115,5.235
Anchorage,historical,2009,ACCESS-CM2,-2.741,5.426
Anchorage,historical,2010,ACCESS-CM2,-2.824,4.24
Anchorage,historical,2011,ACCESS-CM2,-0.173,5.927
Anchorage,historical,2012,ACCESS-CM2,-1.161,4.279
Anchorage,historical,2013,ACCESS-CM2,0.976,5.904
Anchorage,historical,2014,ACCESS-CM2,1.004,7.05
Anchorage,ssp126,2015,ACCESS-CM2,0.654,5.678
Anchorage,ssp126,2016,ACCESS-CM2,0.851,6.068
Anchorage,ssp126,2017,ACCESS-CM2,-1.008,6.006
Anchorage,ssp126,2018,ACCESS-CM2,-2.2,5.155
Anchorage,ssp126,2019,ACCESS-CM2,-1.235,5.135
Anchorage,ssp126,2020,ACCESS-CM2,-0.855,6.616
Anchorage,ssp126,2021,ACCESS-CM2,-0.253,5.925
Anchorage,ssp126,2022,ACCESS-CM2,0.558,5.86
Anchorage,ssp126,2023,ACCESS-CM2,-0.563,4.782
Anchorage,ssp126,2024,ACCESS-CM2,0.101,5.492
Anchorage,ssp126,2025,ACCESS-CM2,1.627,6.587
Anchorage,ssp126,2026,ACCESS-CM2,-0.864,5.089
Anchorage,ssp126,2027,ACCESS-CM2,-0.377,5.512
Anchorage,ssp126,2028,ACCESS-CM2,0.267,5.56
Anchorage,ssp126,2029,ACCESS-CM2,1.373,6.852
Anchorage,ssp126,2030,ACCESS-CM2,1.382,4.946
Anchorage,ssp126,2031,ACCESS-CM2,-1.385,4.218
Anchorage,ssp126,2032,ACCESS-CM2,-1.181,5.657
Anchorage,ssp126,2033,ACCESS-CM2,-2.523,4.51
Anchorage,ssp126,2034,ACCESS-CM2,-1.881,5.43
Anchorage,ssp126,2035,ACCESS-CM2,1.456,6.553
Anchorage,ssp126,2036,ACCESS-CM2,1.849,6.34
Anchorage,ssp126,2037,ACCESS-CM2,0.582,4.768
Anchorage,ssp126,2038,ACCESS-CM2,1.256,5.737
Anchorage,ssp126,2039,ACCESS-CM2,1.216,6.662
Anchorage,ssp126,2040,ACCESS-CM2,0.557,4.957
Anchorage,ssp126,2041,ACCESS-CM2,2.411,7.1
Anchorage,ssp126,2042,ACCESS-CM2,-0.364,6.372
Anchorage,ssp126,2043,ACCESS-CM2,1.238,5.08
Anchorage,ssp126,2044,ACCESS-CM2,0.159,5.37
Anchorage,ssp126,2045,ACCESS-CM2,1.778,6.42
Anchorage,ssp126,2046,ACCESS-CM2,1.012,5.549
Anchorage,ssp126,2047,ACCESS-CM2,3.033,7.055
Anchorage,ssp126,2048,ACCESS-CM2,1.436,6.009
Anchorage,ssp126,2049,ACCESS-CM2,1.814,6.215
Anchorage,ssp126,2050,ACCESS-CM2,0.547,5.47
Anchorage,ssp126,2051,ACCESS-CM2,2.765,5.439
Anchorage,ssp126,2052,ACCESS-CM2,1.873,6.95
Anchorage,ssp126,2053,ACCESS-CM2,1.246,6.091
Anchorage,ssp126,2054,ACCESS-CM2,2.518,6.012
Anchorage,ssp126,2055,ACCESS-CM2,-0.665,5.714
Anchorage,ssp126,2056,ACCESS-CM2,2.389,6.824
Anchorage,ssp126,2057,ACCESS-CM2,1.607,5.981
Anchorage,ssp126,2058,ACCESS-CM2,1.115,6.52
Anchorage,ssp126,2059,ACCESS-CM2,0.17,6.633
Anchorage,ssp126,2060,ACCESS-CM2,2.38,8.037
Anchorage,ssp126,2061,ACCESS-CM2,3.217,7.731
Anchorage,ssp126,2062,ACCESS-CM2,0.661,6.33
Anchorage,ssp126,2063,ACCESS-CM2,1.683,6.34
