city,lat,lon
Anchorage,61.22,-149.9
Bangkok,13.76,100.5
Beijing,39.9,116.41
Berlin,52.52,13.41
Bogota,4.71,-74.07
Buenos Aires,-34.61,-58.38
Cairo,30.04,31.24
Cape Town,-33.92,18.42
Chicago,41.88,-87.63
Delhi,28.61,77.21
Dubai,25.2,55.27
Helsinki,60.17,24.94
Honolulu,21.31,-157.86
Lagos,6.52,3.38
London,51.51,-0.13
Los Angeles,34.05,-118.24
Madrid,40.42,-3.7
Mexico City,19.43,-99.13
Montreal,45.5,-73.57
Moscow,55.76,37.62
Mumbai,19.08,72.88
Nairobi,-1.29,36.82
New York,40.71,-74.01
Oslo,59.91,10.75
Paris,48.86,2.35
Phoenix,33.45,-112.07
Reykjavik,64.15,-21.94
Rome,41.9,12.5
San Diego,32.72,-117.16
Sao Paulo,-23.55,-46.63
Seoul,37.57,126.98
Singapore,1.35,103.82
Stockholm,59.33,18.07
Sydney,-33.87,151.21
Tokyo,35.68,139.69
Toronto,43.65,-79.38
