model,scenario,year,tas_C
CESM2,historical,1850,13.7633
CESM2,historical,1851,13.8073
CESM2,historical,1852,13.888
CESM2,historical,1853,13.8666
CESM2,historical,1854,13.7733
CESM2,historical,1855,13.8878
CESM2,historical,1856,13.9392
CESM2,historical,1857,13.8481
CESM2,historical,1858,14.0313
CESM2,historical,1859,14.1008
CESM2,historical,1860,13.8877
CESM2,historical,1861,14.0238
CESM2,historical,1862,13.6608
CESM2,historical,1863,13.7008
CESM2,historical,1864,13.9093
CESM2,historical,1865,14.0463
CESM2,historical,1866,13.8909
CESM2,historical,1867,13.8621
CESM2,historical,1868,14.0723
CESM2,historical,1869,14.0339
CESM2,historical,1870,14.0454
CESM2,historical,1871,14.1631
CESM2,historical,1872,13.8913
CESM2,historical,1873,14.1333
CESM2,historical,1874,14.1399
CESM2,historical,1875,14.0316
CESM2,historical,1876,14.1568
CESM2,historical,1877,14.1756
CESM2,historical,1878,13.9193
CESM2,historical,1879,14.0609
CESM2,historical,1880,14.2655
CESM2,historical,1881,14.2694
CESM2,historical,1882,14.2948
CESM2,historical,1883,14.3089
CESM2,historical,1884,13.9281
CESM2,historical,1885,13.8275
CESM2,historical,1886,13.8503
CESM2,historical,1887,13.9233
CESM2,historical,1888,13.9037
CESM2,historical,1889,14.1472
CESM2,historical,1890,13.9721
CESM2,historical,1891,14.1698
CESM2,historical,1892,14.2533
CESM2,historical,1893,14.3657
CESM2,historical,1894,14.154
CESM2,historical,1895,13.9878
CESM2,historical,1896,14.0966
CESM2,historical,1897,14.0864
CESM2,historical,1898,13.9269
CESM2,historical,1899,14.0367
CESM2,historical,1900,14.1341
CESM2,historical,1901,14.1268
CESM2,historical,1902,13.922
CESM2,historical,1903,13.7599
CESM2,historical,1904,13.949
CESM2,historical,1905,13.927
CESM2,historical,1906,14.0024
CESM2,historical,1907,14.0237
CESM2,historical,1908,14.1284
CESM2,historical,1909,14.0488
CESM2,historical,1910,14.056
CESM2,historical,1911,14.0765
CESM2,historical,1912,14.0453
CESM2,historical,1913,13.9705
