city,period,month,tas_C,std_C
Anchorage,today,1,-10.917,5.041
Anchorage,today,2,-9.621,4.682
Anchorage,today,3,-7.457,3.855
Anchorage,today,4,-2.47,2.36
Anchorage,today,5,2.83,2.371
Anchorage,today,6,8.13,2.915
Anchorage,today,7,11.237,2.45
Anchorage,today,8,10.53,2.313
Anchorage,today,9,6.078,2.29
Anchorage,today,10,0.198,2.71
Anchorage,today,11,-6.253,3.502
Anchorage,today,12,-10.061,4.93
Bangkok,today,1,22.698,1.948
Bangkok,today,2,25.066,1.805
Bangkok,today,3,27.991,1.372
Bangkok,today,4,29.492,1.368
Bangkok,today,5,28.974,1.626
Bangkok,today,6,27.547,1.42
Bangkok,today,7,26.771,1.142
Bangkok,today,8,26.515,1.044
Bangkok,today,9,26.196,1.083
Bangkok,today,10,25.69,1.465
Bangkok,today,11,24.525,1.727
Bangkok,today,12,22.963,1.795
Beijing,today,1,-8.708,3.237
Beijing,today,2,-5.655,3.455
Beijing,today,3,0.962,3.32
Beijing,today,4,8.882,3.209
Beijing,today,5,16.031,2.354
Beijing,today,6,21.751,1.686
Beijing,today,7,24.535,1.441
Beijing,today,8,23.425,1.671
Beijing,today,9,17.704,1.924
Beijing,today,10,9.927,2.481
Beijing,today,11,1.123,2.77
Beijing,today,12,-6.107,3.274
Berlin,today,1,0.302,2.815
Berlin,today,2,0.817,2.807
Berlin,today,3,2.99,2.474
Berlin,today,4,7.356,2.4
Berlin,today,5,12.41,2.192
Berlin,today,6,16.866,2.021
Berlin,today,7,18.67,2.391
Berlin,today,8,17.883,2.213
Berlin,today,9,14.381,1.901
Berlin,today,10,9.653,1.764
Berlin,today,11,4.891,2.027
Berlin,today,12,1.551,2.392
Bogota,today,1,21.519,2.156
Bogota,today,2,22.375,2.325
Bogota,today,3,22.763,2.247
Bogota,today,4,22.156,1.775
Bogota,today,5,21.267,1.414
Bogota,today,6,20.733,1.342
Bogota,today,7,20.607,1.369
Bogota,today,8,21.049,1.381
Bogota,today,9,21.475,1.497
Bogota,today,10,21.397,1.667
Bogota,today,11,21.217,1.889
Bogota,today,12,21.132,2.071
Buenos Aires,today,1,25.754,2.425
Buenos Aires,today,2,25.383,2.276
Buenos Aires,today,3,22.67,2.051
Buenos Aires,today,4,18.26,2.022
Buenos Aires,today,5,14.034,1.723
Buenos Aires,today,6,11.0,1.824
Buenos Aires,today,7,10.319,1.953
Buenos Aires,today,8,11.841,2.0
Buenos Aires,today,9,14.504,2.119
Buenos Aires,today,10,17.461,2.263
Buenos Aires,today,11,20.82,2.528
Buenos Aires,today,12,23.91,2.768
Cairo,today,1,12.877,1.504
Cairo,today,2,13.917,1.744
Cairo,today,3,16.547,2.056
Cairo,today,4,19.807,2.227
Cairo,today,5,23.575,2.509
Cairo,today,6,27.283,2.726
Cairo,today,7,29.396,2.988
Cairo,today,8,29.125,2.836
Cairo,today,9,26.697,2.352
Cairo,today,10,23.261,1.949
Cairo,today,11,18.43,1.873
Cairo,today,12,14.243,1.55
Cape Town,today,1,21.321,1.248
Cape Town,today,2,21.828,1.199
Cape Town,today,3,21.045,1.085
Cape Town,today,4,18.97,0.943
Cape Town,today,5,16.838,0.985
Cape Town,today,6,15.054,1.022
Cape Town,today,7,14.107,0.951
Cape Town,today,8,14.014,1.007
Cape Town,today,9,14.949,1.023
Cape Town,today,10,16.585,1.078
Cape Town,today,11,18.303,1.201
Cape Town,today,12,20.022,1.26
Chicago,today,1,-6.352,4.084
Chicago,today,2,-4.954,3.956
Chicago,today,3,0.839,3.512
Chicago,today,4,8.56,2.497
Chicago,today,5,15.201,2.228
Chicago,today,6,20.693,1.993
Chicago,today,7,24.257,2.147
Chicago,today,8,23.928,2.202
Chicago,today,9,19.229,2.501
Chicago,today,10,11.458,2.68
Chicago,today,11,3.919,2.882
Chicago,today,12,-2.872,3.58
Delhi,today,1,12.119,3.459
Delhi,today,2,15.276,4.08
Delhi,today,3,21.259,4.352
Delhi,today,4,26.938,4.321
Delhi,today,5,32.17,4.286
Delhi,today,6,35.079,4.248
Delhi,today,7,33.374,3.456
Delhi,today,8,31.354,3.403
Delhi,today,9,29.799,3.878
Delhi,today,10,25.09,3.804
Delhi,today,11,18.545,3.543
Delhi,today,12,13.346,3.539
Dubai,today,1,18.089,2.627
Dubai,today,2,19.256,2.986
Dubai,today,3,22.625,3.378
Dubai,today,4,26.394,3.551
Dubai,today,5,31.119,4.388
Dubai,today,6,34.911,5.24
Dubai,today,7,36.306,5.219
Dubai,today,8,36.02,4.935
Dubai,today,9,33.782,4.42
Dubai,today,10,29.858,3.267
Dubai,today,11,24.726,2.781
Dubai,today,12,19.929,2.947
Helsinki,today,1,-7.862,4.935
Helsinki,today,2,-7.117,4.487
Helsinki,today,3,-3.598,2.762
Helsinki,today,4,2.271,2.448
Helsinki,today,5,9.284,2.478
Helsinki,today,6,14.573,2.518
Helsinki,today,7,16.663,2.327
Helsinki,today,8,15.288,2.256
Helsinki,today,9,11.002,2.258
Helsinki,today,10,5.722,2.254
Helsinki,today,11,0.058,3.163
Helsinki,today,12,-4.604,4.281
Honolulu,today,1,22.405,0.821
Honolulu,today,2,22.053,0.912
Honolulu,today,3,22.011,1.031
Honolulu,today,4,22.32,1.029
Honolulu,today,5,23.216,0.974
Honolulu,today,6,24.313,0.919
Honolulu,today,7,24.977,0.843
Honolulu,today,8,25.525,0.832
Honolulu,today,9,25.762,0.822
Honolulu,today,10,25.288,0.724
Honolulu,today,11,24.197,0.729
Honolulu,today,12,23.136,0.782
Lagos,today,1,26.692,1.524
Lagos,today,2,28.127,1.361
Lagos,today,3,29.152,1.027
Lagos,today,4,28.824,1.057
Lagos,today,5,28.054,0.925
Lagos,today,6,27.273,0.915
Lagos,today,7,26.335,0.814
Lagos,today,8,25.755,0.826
Lagos,today,9,25.99,0.946
Lagos,today,10,26.507,0.985
Lagos,today,11,26.916,0.987
Lagos,today,12,26.458,1.412
London,today,1,5.943,1.743
London,today,2,5.653,1.963
London,today,3,6.428,1.897
London,today,4,8.37,1.917
London,today,5,11.401,1.592
London,today,6,14.841,1.575
London,today,7,17.104,1.9
London,today,8,17.145,1.799
London,today,9,15.128,1.594
London,today,10,11.871,1.501
London,today,11,8.898,1.532
London,today,12,6.947,1.586
Los Angeles,today,1,8.812,2.024
Los Angeles,today,2,10.073,1.955
Los Angeles,today,3,11.957,2.106
Los Angeles,today,4,14.368,2.253
Los Angeles,today,5,18.102,2.644
Los Angeles,today,6,21.878,3.206
Los Angeles,today,7,25.432,3.209
Los Angeles,today,8,25.989,2.795
Los Angeles,today,9,23.611,2.403
Los Angeles,today,10,19.11,2.209
Los Angeles,today,11,13.236,2.312
Los Angeles,today,12,9.483,2.231
Madrid,today,1,5.093,2.357
Madrid,today,2,5.742,2.471
Madrid,today,3,7.711,2.443
Madrid,today,4,10.362,2.527
Madrid,today,5,13.806,2.442
Madrid,today,6,18.911,2.844
Madrid,today,7,23.34,3.095
Madrid,today,8,23.343,2.709
Madrid,today,9,19.317,2.476
Madrid,today,10,13.367,2.385
Madrid,today,11,8.608,2.324
Madrid,today,12,5.784,2.306
Mexico City,today,1,15.211,2.637
Mexico City,today,2,16.452,2.601
Mexico City,today,3,18.566,2.537
Mexico City,today,4,20.748,2.391
Mexico City,today,5,21.399,2.343
Mexico City,today,6,21.213,2.268
Mexico City,today,7,20.811,2.079
Mexico City,today,8,20.727,1.997
Mexico City,today,9,20.312,2.083
Mexico City,today,10,18.854,2.307
Mexico City,today,11,17.121,2.604
Mexico City,today,12,15.749,2.629
Montreal,today,1,-11.76,3.976
Montreal,today,2,-10.28,3.352
Montreal,today,3,-4.657,2.763
Montreal,today,4,3.121,2.443
Montreal,today,5,10.913,2.294
Montreal,today,6,16.48,1.785
Montreal,today,7,19.471,1.85
Montreal,today,8,18.657,1.925
Montreal,today,9,14.243,2.035
Montreal,today,10,7.243,2.034
Montreal,today,11,0.136,2.558
Montreal,today,12,-6.96,3.041
Moscow,today,1,-10.478,4.86
Moscow,today,2,-8.549,4.381
Moscow,today,3,-3.938,2.8
Moscow,today,4,3.671,2.92
Moscow,today,5,12.052,2.813
Moscow,today,6,16.684,2.668
Moscow,today,7,18.437,2.56
Moscow,today,8,17.023,2.52
Moscow,today,9,11.715,2.628
Moscow,today,10,5.129,2.558
Moscow,today,11,-1.895,3.055
Moscow,today,12,-7.688,4.392
Mumbai,today,1,23.047,2.208
Mumbai,today,2,24.289,1.815
Mumbai,today,3,26.781,1.453
Mumbai,today,4,28.904,1.485
Mumbai,today,5,29.608,1.427
Mumbai,today,6,28.735,0.999
Mumbai,today,7,27.072,1.448
Mumbai,today,8,26.219,1.281
Mumbai,today,9,26.573,1.205
Mumbai,today,10,27.449,1.292
Mumbai,today,11,26.364,1.843
Mumbai,today,12,23.998,2.349
Nairobi,today,1,22.705,1.71
Nairobi,today,2,23.574,1.817
Nairobi,today,3,24.105,1.683
Nairobi,today,4,23.521,1.551
Nairobi,today,5,22.322,1.666
Nairobi,today,6,21.397,1.673
Nairobi,today,7,20.925,1.683
Nairobi,today,8,21.484,1.728
Nairobi,today,9,22.51,2.068
Nairobi,today,10,22.98,1.942
Nairobi,today,11,22.013,1.62
Nairobi,today,12,21.998,1.713
New York,today,1,-0.721,3.457
New York,today,2,0.049,3.352
New York,today,3,3.78,3.168
New York,today,4,9.343,2.489
New York,today,5,14.857,2.087
New York,today,6,19.752,1.615
New York,today,7,23.025,1.558
New York,today,8,23.002,1.631
New York,today,9,19.66,1.945
New York,today,10,13.88,2.091
New York,today,11,7.838,2.585
New York,today,12,2.601,2.904
Oslo,today,1,-5.825,3.664
Oslo,today,2,-5.253,3.648
Oslo,today,3,-2.586,2.483
Oslo,today,4,1.898,1.874
Oslo,today,5,7.928,2.074
Oslo,today,6,12.872,2.053
Oslo,today,7,14.461,2.09
Oslo,today,8,13.081,1.928
Oslo,today,9,9.418,1.806
Oslo,today,10,4.698,1.873
Oslo,today,11,-0.234,2.677
Oslo,today,12,-3.883,3.377
