variable,scenario,lat,lon,delta
tas,ssp126,-87.5,0.0,2.076
tas,ssp126,-87.5,2.5,2.081
tas,ssp126,-87.5,5.0,2.086
tas,ssp126,-87.5,7.5,2.089
tas,ssp126,-87.5,10.0,2.092
tas,ssp126,-87.5,12.5,2.098
tas,ssp126,-87.5,15.0,2.098
tas,ssp126,-87.5,17.5,2.099
tas,ssp126,-87.5,20.0,2.102
tas,ssp126,-87.5,22.5,2.102
tas,ssp126,-87.5,25.0,2.102
tas,ssp126,-87.5,27.5,2.1
tas,ssp126,-87.5,30.0,2.097
tas,ssp126,-87.5,32.5,2.098
tas,ssp126,-87.5,35.0,2.098
tas,ssp126,-87.5,37.5,2.098
tas,ssp126,-87.5,40.0,2.098
tas,ssp126,-87.5,42.5,2.099
tas,ssp126,-87.5,45.0,2.1
tas,ssp126,-87.5,47.5,2.096
tas,ssp126,-87.5,50.0,2.096
tas,ssp126,-87.5,52.5,2.098
tas,ssp126,-87.5,55.0,2.098
tas,ssp126,-87.5,57.5,2.099
tas,ssp126,-87.5,60.0,2.101
tas,ssp126,-87.5,62.5,2.105
tas,ssp126,-87.5,65.0,2.109
tas,ssp126,-87.5,67.5,2.111
tas,ssp126,-87.5,70.0,2.115
tas,ssp126,-87.5,72.5,2.12
tas,ssp126,-87.5,75.0,2.121
tas,ssp126,-87.5,77.5,2.124
tas,ssp126,-87.5,80.0,2.126
tas,ssp126,-87.5,82.5,2.131
tas,ssp126,-87.5,85.0,2.134
tas,ssp126,-87.5,87.5,2.136
tas,ssp126,-87.5,90.0,2.141
tas,ssp126,-87.5,92.5,2.144
tas,ssp126,-87.5,95.0,2.148
tas,ssp126,-87.5,97.5,2.147
tas,ssp126,-87.5,100.0,2.148
tas,ssp126,-87.5,102.5,2.151
tas,ssp126,-87.5,105.0,2.154
tas,ssp126,-87.5,107.5,2.152
tas,ssp126,-87.5,110.0,2.151
tas,ssp126,-87.5,112.5,2.15
tas,ssp126,-87.5,115.0,2.144
tas,ssp126,-87.5,117.5,2.138
tas,ssp126,-87.5,120.0,2.133
tas,ssp126,-87.5,122.5,2.127
tas,ssp126,-87.5,125.0,2.117
tas,ssp126,-87.5,127.5,2.11
tas,ssp126,-87.5,130.0,2.099
tas,ssp126,-87.5,132.5,2.087
tas,ssp126,-87.5,135.0,2.076
tas,ssp126,-87.5,137.5,2.063
tas,ssp126,-87.5,140.0,2.048
tas,ssp126,-87.5,142.5,2.039
